session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time,round_number,timeout_happened,is_wait_page
m749xi6h,2,7gq2sytj,70,wsd_app,ResultsWaitPage,1655114731,8,0,1
m749xi6h,3,fok1x1oo,70,wsd_app,ResultsWaitPage,1655114731,8,0,1
m749xi6h,1,2xhro9bx,72,wsd_app,ResultsDisagreementWaitPage,1655114731,8,0,1
m749xi6h,3,fok1x1oo,72,wsd_app,ResultsDisagreementWaitPage,1655114731,8,0,1
m749xi6h,2,7gq2sytj,72,wsd_app,ResultsDisagreementWaitPage,1655114731,8,0,1
m749xi6h,1,2xhro9bx,73,wsd_app,Results,1655114733,8,1,0
m749xi6h,2,7gq2sytj,73,wsd_app,Results,1655114733,8,1,0
m749xi6h,3,fok1x1oo,73,wsd_app,Results,1655114733,8,1,0
m749xi6h,1,2xhro9bx,78,wsd_app,Decision,1655114735,9,1,0
m749xi6h,2,7gq2sytj,78,wsd_app,Decision,1655114735,9,1,0
m749xi6h,3,fok1x1oo,78,wsd_app,Decision,1655114735,9,1,0
m749xi6h,1,2xhro9bx,79,wsd_app,ResultsWaitPage,1655114735,9,0,1
m749xi6h,2,7gq2sytj,79,wsd_app,ResultsWaitPage,1655114735,9,0,1
m749xi6h,3,fok1x1oo,79,wsd_app,ResultsWaitPage,1655114735,9,0,1
m749xi6h,1,2xhro9bx,81,wsd_app,ResultsDisagreementWaitPage,1655114736,9,0,1
m749xi6h,3,fok1x1oo,81,wsd_app,ResultsDisagreementWaitPage,1655114736,9,0,1
m749xi6h,2,7gq2sytj,81,wsd_app,ResultsDisagreementWaitPage,1655114736,9,0,1
m749xi6h,1,2xhro9bx,82,wsd_app,Results,1655114738,9,1,0
m749xi6h,2,7gq2sytj,82,wsd_app,Results,1655114738,9,1,0
m749xi6h,3,fok1x1oo,82,wsd_app,Results,1655114738,9,1,0
m749xi6h,1,2xhro9bx,87,wsd_app,Decision,1655114744,10,1,0
m749xi6h,2,7gq2sytj,87,wsd_app,Decision,1655114744,10,1,0
m749xi6h,3,fok1x1oo,87,wsd_app,Decision,1655114744,10,1,0
m749xi6h,1,2xhro9bx,88,wsd_app,ResultsWaitPage,1655114744,10,0,1
m749xi6h,2,7gq2sytj,88,wsd_app,ResultsWaitPage,1655114744,10,0,1
m749xi6h,3,fok1x1oo,88,wsd_app,ResultsWaitPage,1655114744,10,0,1
m749xi6h,3,fok1x1oo,90,wsd_app,ResultsDisagreementWaitPage,1655114745,10,0,1
m749xi6h,1,2xhro9bx,90,wsd_app,ResultsDisagreementWaitPage,1655114745,10,0,1
m749xi6h,2,7gq2sytj,90,wsd_app,ResultsDisagreementWaitPage,1655114745,10,0,1
m749xi6h,1,2xhro9bx,91,wsd_app,Results,1655114749,10,0,0
m749xi6h,2,7gq2sytj,91,wsd_app,Results,1655114753,10,0,0
m749xi6h,3,fok1x1oo,91,wsd_app,Results,1655114754,10,0,0
m749xi6h,2,7gq2sytj,92,wsd_app,FinalResults,1655114757,10,0,0
m749xi6h,3,fok1x1oo,92,wsd_app,FinalResults,1655114758,10,0,0
m749xi6h,1,2xhro9bx,92,wsd_app,FinalResults,1655114759,10,0,0
v8jw39uu,1,l81l91fj,1,intro_matcher,Intro,1655115134,1,0,0
v8jw39uu,3,kb4xh90w,1,intro_matcher,Intro,1655115163,1,0,0
v8jw39uu,7,nnbai6eu,1,intro_matcher,Intro,1655115164,1,0,0
v8jw39uu,1,l81l91fj,2,matcher,FirstWP,1655115164,1,0,1
v8jw39uu,3,kb4xh90w,2,matcher,FirstWP,1655115164,1,0,1
v8jw39uu,7,nnbai6eu,2,matcher,FirstWP,1655115164,1,0,1
v8jw39uu,7,nnbai6eu,3,wsd_app,FirstWP,1655115165,1,0,1
v8jw39uu,1,l81l91fj,3,wsd_app,FirstWP,1655115165,1,0,1
v8jw39uu,3,kb4xh90w,3,wsd_app,FirstWP,1655115165,1,0,1
v8jw39uu,2,duey5jmx,1,intro_matcher,Intro,1655115165,1,0,0
v8jw39uu,10,aysqym01,1,intro_matcher,Intro,1655115172,1,0,0
v8jw39uu,4,dh34bcev,1,intro_matcher,Intro,1655115172,1,0,0
v8jw39uu,1,l81l91fj,4,wsd_app,GeneralIntro,1655115172,1,0,0
v8jw39uu,10,aysqym01,2,matcher,FirstWP,1655115172,1,0,1
v8jw39uu,2,duey5jmx,2,matcher,FirstWP,1655115172,1,0,1
v8jw39uu,4,dh34bcev,2,matcher,FirstWP,1655115172,1,0,1
v8jw39uu,10,aysqym01,3,wsd_app,FirstWP,1655115173,1,0,1
v8jw39uu,4,dh34bcev,3,wsd_app,FirstWP,1655115173,1,0,1
v8jw39uu,2,duey5jmx,3,wsd_app,FirstWP,1655115173,1,0,1
v8jw39uu,1,l81l91fj,5,wsd_app,Introduction,1655115175,1,0,0
v8jw39uu,16,qle1y5e1,1,intro_matcher,Intro,1655115175,1,0,0
v8jw39uu,3,kb4xh90w,4,wsd_app,GeneralIntro,1655115176,1,0,0
v8jw39uu,9,ptwqybi2,1,intro_matcher,Intro,1655115177,1,0,0
v8jw39uu,7,nnbai6eu,4,wsd_app,GeneralIntro,1655115179,1,0,0
v8jw39uu,17,iams0aoo,1,intro_matcher,Intro,1655115182,1,0,0
v8jw39uu,17,iams0aoo,2,matcher,FirstWP,1655115182,1,0,1
v8jw39uu,16,qle1y5e1,2,matcher,FirstWP,1655115182,1,0,1
v8jw39uu,9,ptwqybi2,2,matcher,FirstWP,1655115182,1,0,1
v8jw39uu,10,aysqym01,4,wsd_app,GeneralIntro,1655115182,1,0,0
v8jw39uu,17,iams0aoo,3,wsd_app,FirstWP,1655115183,1,0,1
v8jw39uu,9,ptwqybi2,3,wsd_app,FirstWP,1655115183,1,0,1
v8jw39uu,16,qle1y5e1,3,wsd_app,FirstWP,1655115183,1,0,1
v8jw39uu,14,8eabaeoj,1,intro_matcher,Intro,1655115183,1,0,0
v8jw39uu,6,wusx1aqt,1,intro_matcher,Intro,1655115183,1,0,0
v8jw39uu,13,pvtljswc,1,intro_matcher,Intro,1655115183,1,0,0
v8jw39uu,13,pvtljswc,2,matcher,FirstWP,1655115184,1,0,1
v8jw39uu,14,8eabaeoj,2,matcher,FirstWP,1655115184,1,0,1
v8jw39uu,6,wusx1aqt,2,matcher,FirstWP,1655115184,1,0,1
v8jw39uu,21,6ivnoczu,1,intro_matcher,Intro,1655115184,1,0,0
v8jw39uu,7,nnbai6eu,5,wsd_app,Introduction,1655115185,1,0,0
v8jw39uu,14,8eabaeoj,3,wsd_app,FirstWP,1655115185,1,0,1
v8jw39uu,13,pvtljswc,3,wsd_app,FirstWP,1655115185,1,0,1
v8jw39uu,6,wusx1aqt,3,wsd_app,FirstWP,1655115185,1,0,1
v8jw39uu,8,pgzfftd7,1,intro_matcher,Intro,1655115186,1,0,0
v8jw39uu,10,aysqym01,5,wsd_app,Introduction,1655115186,1,0,0
v8jw39uu,3,kb4xh90w,5,wsd_app,Introduction,1655115189,1,0,0
v8jw39uu,16,qle1y5e1,4,wsd_app,GeneralIntro,1655115190,1,0,0
v8jw39uu,4,dh34bcev,4,wsd_app,GeneralIntro,1655115190,1,0,0
v8jw39uu,19,twn9fb4m,1,intro_matcher,Intro,1655115193,1,0,0
v8jw39uu,19,twn9fb4m,2,matcher,FirstWP,1655115193,1,0,1
v8jw39uu,21,6ivnoczu,2,matcher,FirstWP,1655115193,1,0,1
v8jw39uu,8,pgzfftd7,2,matcher,FirstWP,1655115193,1,0,1
v8jw39uu,10,aysqym01,6,wsd_app,Decision,1655115194,1,0,0
v8jw39uu,19,twn9fb4m,3,wsd_app,FirstWP,1655115194,1,0,1
v8jw39uu,21,6ivnoczu,3,wsd_app,FirstWP,1655115194,1,0,1
v8jw39uu,8,pgzfftd7,3,wsd_app,FirstWP,1655115194,1,0,1
v8jw39uu,17,iams0aoo,4,wsd_app,GeneralIntro,1655115194,1,0,0
v8jw39uu,16,qle1y5e1,5,wsd_app,Introduction,1655115196,1,0,0
v8jw39uu,9,ptwqybi2,4,wsd_app,GeneralIntro,1655115198,1,0,0
v8jw39uu,21,6ivnoczu,4,wsd_app,GeneralIntro,1655115199,1,0,0
v8jw39uu,17,iams0aoo,5,wsd_app,Introduction,1655115200,1,0,0
v8jw39uu,27,drll18h9,1,intro_matcher,Intro,1655115200,1,0,0
v8jw39uu,12,279d0sem,1,intro_matcher,Intro,1655115202,1,0,0
v8jw39uu,31,f8d4gvps,1,intro_matcher,Intro,1655115204,1,0,0
v8jw39uu,15,bclront8,1,intro_matcher,Intro,1655115205,1,0,0
v8jw39uu,19,twn9fb4m,4,wsd_app,GeneralIntro,1655115206,1,0,0
v8jw39uu,15,bclront8,2,matcher,FirstWP,1655115206,1,0,1
v8jw39uu,31,f8d4gvps,2,matcher,FirstWP,1655115206,1,0,1
v8jw39uu,12,279d0sem,2,matcher,FirstWP,1655115206,1,0,1
v8jw39uu,24,a9ef39uv,1,intro_matcher,Intro,1655115206,1,0,0
v8jw39uu,14,8eabaeoj,4,wsd_app,GeneralIntro,1655115206,1,0,0
v8jw39uu,2,duey5jmx,4,wsd_app,GeneralIntro,1655115206,1,0,0
v8jw39uu,20,b1cz8e00,1,intro_matcher,Intro,1655115206,1,0,0
v8jw39uu,21,6ivnoczu,5,wsd_app,Introduction,1655115206,1,0,0
v8jw39uu,12,279d0sem,3,wsd_app,FirstWP,1655115207,1,0,1
v8jw39uu,15,bclront8,3,wsd_app,FirstWP,1655115207,1,0,1
v8jw39uu,31,f8d4gvps,3,wsd_app,FirstWP,1655115207,1,0,1
v8jw39uu,20,b1cz8e00,2,matcher,FirstWP,1655115207,1,0,1
v8jw39uu,24,a9ef39uv,2,matcher,FirstWP,1655115207,1,0,1
v8jw39uu,27,drll18h9,2,matcher,FirstWP,1655115207,1,0,1
v8jw39uu,9,ptwqybi2,5,wsd_app,Introduction,1655115207,1,0,0
v8jw39uu,37,yketsy3q,1,intro_matcher,Intro,1655115210,1,0,0
v8jw39uu,24,a9ef39uv,3,wsd_app,FirstWP,1655115210,1,0,1
v8jw39uu,20,b1cz8e00,3,wsd_app,FirstWP,1655115210,1,0,1
