participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,l81l91fj,00020551b2--62a70d75111d247825ed60ce,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:09.495602+00:00,1,,,53,1,,0,1,1,v8jw39uu,,,,,0
2,duey5jmx,00020551b2--62a70d7993820275f9e6511f,0,95,95,last,Last,2022-06-13 10:12:18.424442+00:00,1,,,43,2,,0,1,1,v8jw39uu,,,,,0
3,kb4xh90w,00020551b2--62a70d853e4bbc46d7b63ed5,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:28.742035+00:00,1,,,60,3,,0,1,1,v8jw39uu,,,,,0
4,dh34bcev,00020551b2--62a70d79037a78554529687d,0,95,95,last,Last,2022-06-13 10:12:30.388528+00:00,1,,,43,4,,0,1,1,v8jw39uu,,,,,0
5,18xmbok4,00020551b2--62a70d89059cac0e9377c2da,0,1,95,intro_matcher,Intro,2022-06-13 10:12:30.648840+00:00,1,,,0,5,,0,1,1,v8jw39uu,,,,,0
6,wusx1aqt,00020551b2--62a70d81cd14e60843e78de3,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:33.761728+00:00,1,,,50,6,,0,1,1,v8jw39uu,,,,,0
7,nnbai6eu,00020551b2--62a70d89276629520ee30a74,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:35.333583+00:00,1,,,60,7,,0,1,1,v8jw39uu,,,,,0
8,pgzfftd7,00020551b2--62a70d7c61497e119c6d46da,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:37.399483+00:00,1,,,80,8,,0,1,1,v8jw39uu,,,,,0
9,ptwqybi2,00020551b2--62a70d82450a60329403118c,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:37.692430+00:00,1,,,40,9,,0,1,1,v8jw39uu,,,,,0
10,aysqym01,00020551b2--62a70d904f0ede6bfabded80,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:43.177454+00:00,1,,,50,10,,0,1,1,v8jw39uu,,,,,0
11,tw74rorl,00020551b2--62a70d8ecd14e60843e78e37,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:43.510453+00:00,1,,,30,11,,0,1,1,v8jw39uu,,,,,0
12,279d0sem,00020551b2--62a70d95552bd0485174af98,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:43.921804+00:00,1,,,60,12,,0,1,1,v8jw39uu,,,,,0
13,pvtljswc,00020551b2--62a70d95598d17774f254226,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:45.910364+00:00,1,,,50,13,,0,1,1,v8jw39uu,,,,,0
14,8eabaeoj,00020551b2--62a70d97e3af0f15c4b93a1f,0,95,95,last,Last,2022-06-13 10:12:46.434830+00:00,1,,,36,14,,0,1,1,v8jw39uu,,,,,0
15,bclront8,00020551b2--62a70d946c08bd0cc60e0356,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:47.918474+00:00,1,,,53,15,,0,1,1,v8jw39uu,,,,,0
16,qle1y5e1,00020551b2--62a70d9473c63f3d1e230585,0,95,95,last,Last,2022-06-13 10:12:47.804604+00:00,1,,,40,16,,0,1,1,v8jw39uu,,,,,0
17,iams0aoo,00020551b2--62a70d99450a60329403123f,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:49.100502+00:00,1,,,40,17,,0,1,1,v8jw39uu,,,,,0
18,jt4q5kny,00020551b2--62a70d9b305db237b24019d2,0,1,95,intro_matcher,Intro,2022-06-13 10:12:50.221459+00:00,1,,,0,18,,0,1,1,v8jw39uu,,,,,0
19,twn9fb4m,00020551b2--62a70d9973c63f3d1e230594,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:50.520395+00:00,1,,,80,19,,0,1,1,v8jw39uu,,,,,0
20,b1cz8e00,00020551b2--62a70d8f059cac0e9377c349,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:53.233784+00:00,1,,,70,20,,0,1,1,v8jw39uu,,,,,0
21,6ivnoczu,00020551b2--62a70d9d305db237b24019dd,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:53.392902+00:00,1,,,80,21,,0,1,1,v8jw39uu,,,,,0
22,1e9fragw,00020551b2--62a70d92276629520ee30bd2,0,95,95,last,Last,2022-06-13 10:12:57.793744+00:00,1,,,53,22,,0,1,1,v8jw39uu,,,,,0
23,mfwbhe8j,13800773d2--60l59L59695667983UO17rs3,0,1,95,intro_matcher,Intro,2022-06-13 10:13:04.282305+00:00,1,,,0,23,,0,1,1,v8jw39uu,,,,,0
24,a9ef39uv,00020551b2--62a70da10b8a5816989b1351,0,92,95,wsd_app,FinalResults,2022-06-13 10:13:01.842300+00:00,1,,,70,24,,0,1,1,v8jw39uu,,,,,0
25,sghkmgy7,00020551b2--62a70d9302e0db560185727c,0,1,95,intro_matcher,Intro,2022-06-13 10:13:01.931196+00:00,1,,,0,25,,0,1,1,v8jw39uu,,,,,0
26,uacdg9di,00020551b2--62a70d9e6c08bd0cc60e03b6,0,92,95,wsd_app,FinalResults,2022-06-13 10:13:03.260038+00:00,1,,,23,26,,0,1,1,v8jw39uu,,,,,0
27,drll18h9,00020551b2--62a70da7c6f5d259c540359a,0,92,95,wsd_app,FinalResults,2022-06-13 10:13:06.434827+00:00,1,,,70,27,,0,1,1,v8jw39uu,,,,,0
28,tj9eap24,00020551b2--62a70da4f47dc619007228c6,0,95,95,last,Last,2022-06-13 10:13:08.465520+00:00,1,,,45,28,,0,1,1,v8jw39uu,,,,,0
29,wwmxiren,00020551b2--62a70d91521e6373d2aeca32,0,95,95,last,Last,2022-06-13 10:13:10.081237+00:00,1,,,3,29,,0,1,1,v8jw39uu,,,,,0
30,sfccokok,00020551b2--62a70d884f0ede6bfabded34,0,95,95,last,Last,2022-06-13 10:13:11.752566+00:00,1,,,36,30,,0,1,1,v8jw39uu,,,,,0
31,f8d4gvps,00020551b2--62a70dacda9c6a5d5a4f2be8,0,92,95,wsd_app,FinalResults,2022-06-13 10:13:12.370736+00:00,1,,,60,31,,0,1,1,v8jw39uu,,,,,0
32,7yty41jr,00020551b2--62a70daec6f5d259c54035e0,0,95,95,last,Last,2022-06-13 10:13:14.844192+00:00,1,,,53,32,,0,1,1,v8jw39uu,,,,,0
33,38tdh1io,00020551b2--62a70da6f47dc619007228f7,0,95,95,last,Last,2022-06-13 10:13:15.809634+00:00,1,,,3,33,,0,1,1,v8jw39uu,,,,,0
34,4g0beedo,00020551b2--62a70d8d4ad5fb122b867998,0,92,95,wsd_app,FinalResults,2022-06-13 10:13:17.477785+00:00,1,,,50,34,,0,1,1,v8jw39uu,,,,,0
35,17ajo6f1,00020551b2--62a70d9e1f3bd04c6955426e,0,95,95,last,Last,2022-06-13 10:13:18.105017+00:00,1,,,53,35,,0,1,1,v8jw39uu,,,,,0
36,kzlwe574,00020551b2--62a70daf73c63f3d1e23063e,0,95,95,last,Last,2022-06-13 10:13:19.271437+00:00,1,,,23,36,,0,1,1,v8jw39uu,,,,,0
37,yketsy3q,00020551b2--62a70daa16ae3d133961f26e,0,95,95,last,Last,2022-06-13 10:13:22.985707+00:00,1,,,10,37,,0,1,1,v8jw39uu,,,,,0
38,n0kgqe99,00020551b2--62a70d776bcc931cf0a107c7,0,92,95,wsd_app,FinalResults,2022-06-13 10:13:23.576189+00:00,1,,,60,38,,0,1,1,v8jw39uu,,,,,0
39,7bhm6yjf,13800773d2--60l59LDL69nO6Z983021Z94f,0,1,95,intro_matcher,Intro,2022-06-13 10:13:28.231097+00:00,1,,,0,39,,0,1,1,v8jw39uu,,,,,0
40,kmdosfa1,00020551b2--62a70db8037a785545296a9d,0,92,95,wsd_app,FinalResults,2022-06-13 10:13:29.996572+00:00,1,,,60,40,,0,1,1,v8jw39uu,,,,,0
41,0wymj3xg,00020551b2--62a70dbdcf7868165793eb5c,0,92,95,wsd_app,FinalResults,2022-06-13 10:13:30.440582+00:00,1,,,50,41,,0,1,1,v8jw39uu,,,,,0
42,c6hrzzaz,00020551b2--62a70db6c6f5d259c5403609,0,95,95,last,Last,2022-06-13 10:13:31.578695+00:00,1,,,66,42,,0,1,1,v8jw39uu,,,,,0
43,ckgsrx9v,00020551b2--62a70daaf10f623a73c3a087,0,2,95,matcher,FirstWP,2022-06-13 10:13:32.638373+00:00,1,,,0,43,,0,1,1,v8jw39uu,,,,,0
