participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.blocked_in_wp,player.matching_time,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,l81l91fj,00020551b2--62a70d75111d247825ed60ce,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:09.495602+00:00,1,,,53,3,,0,0,30.049575,2,1,v8jw39uu,,,,,0
2,duey5jmx,00020551b2--62a70d7993820275f9e6511f,0,95,95,last,Last,2022-06-13 10:12:18.424442+00:00,1,,,43,2,,0,0,7.372472,3,1,v8jw39uu,,,,,0
3,kb4xh90w,00020551b2--62a70d853e4bbc46d7b63ed5,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:28.742035+00:00,1,,,60,2,,0,0,0.456867,2,1,v8jw39uu,,,,,0
4,dh34bcev,00020551b2--62a70d79037a78554529687d,0,95,95,last,Last,2022-06-13 10:12:30.388528+00:00,1,,,43,1,,0,0,-1.4e-05,3,1,v8jw39uu,,,,,0
5,18xmbok4,00020551b2--62a70d89059cac0e9377c2da,0,1,95,intro_matcher,Intro,2022-06-13 10:12:30.648840+00:00,1,,,0,5,,0,0,,1,1,v8jw39uu,,,,,0
6,wusx1aqt,00020551b2--62a70d81cd14e60843e78de3,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:33.761728+00:00,1,,,50,2,,0,0,0.265269,5,1,v8jw39uu,,,,,0
7,nnbai6eu,00020551b2--62a70d89276629520ee30a74,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:35.333583+00:00,1,,,60,1,,0,0,-1e-05,2,1,v8jw39uu,,,,,0
8,pgzfftd7,00020551b2--62a70d7c61497e119c6d46da,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:37.399483+00:00,1,,,80,2,,0,0,6.557454,6,1,v8jw39uu,,,,,0
9,ptwqybi2,00020551b2--62a70d82450a60329403118c,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:37.692430+00:00,1,,,40,2,,0,0,4.484592,4,1,v8jw39uu,,,,,0
10,aysqym01,00020551b2--62a70d904f0ede6bfabded80,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:43.177454+00:00,1,,,50,3,,0,0,0.638326,3,1,v8jw39uu,,,,,0
11,tw74rorl,00020551b2--62a70d8ecd14e60843e78e37,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:43.510453+00:00,1,,,30,3,,0,0,1.138186,12,1,v8jw39uu,,,,,0
12,279d0sem,00020551b2--62a70d95552bd0485174af98,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:43.921804+00:00,1,,,60,3,,0,0,3.643784,7,1,v8jw39uu,,,,,0
13,pvtljswc,00020551b2--62a70d95598d17774f254226,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:45.910364+00:00,1,,,50,1,,0,0,-1.1e-05,5,1,v8jw39uu,,,,,0
14,8eabaeoj,00020551b2--62a70d97e3af0f15c4b93a1f,0,95,95,last,Last,2022-06-13 10:12:46.434830+00:00,1,,,36,3,,0,0,0.772008,5,1,v8jw39uu,,,,,0
15,bclront8,00020551b2--62a70d946c08bd0cc60e0356,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:47.918474+00:00,1,,,53,1,,0,0,-1.1e-05,7,1,v8jw39uu,,,,,0
16,qle1y5e1,00020551b2--62a70d9473c63f3d1e230585,0,95,95,last,Last,2022-06-13 10:12:47.804604+00:00,1,,,40,3,,0,0,6.673708,4,1,v8jw39uu,,,,,0
17,iams0aoo,00020551b2--62a70d99450a60329403123f,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:49.100502+00:00,1,,,40,1,,0,0,-1.1e-05,4,1,v8jw39uu,,,,,0
18,jt4q5kny,00020551b2--62a70d9b305db237b24019d2,0,1,95,intro_matcher,Intro,2022-06-13 10:12:50.221459+00:00,1,,,0,18,,0,0,,1,1,v8jw39uu,,,,,0
19,twn9fb4m,00020551b2--62a70d9973c63f3d1e230594,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:50.520395+00:00,1,,,80,1,,0,0,-1.3e-05,6,1,v8jw39uu,,,,,0
