participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.time_for_initial_decision,player.time_for_decision_when_disagreement_occurred,player.intermediary_payoff,player.written_outcome,player.initial_decision,player.phrase,player.sentence,player.senses,player.decision,group.id_in_subsession,group.is_initial_agreement,group.is_eventual_agreement,group.is_golden_label,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,l81l91fj,00020551b2--62a70d75111d247825ed60ce,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:09.495602+00:00,1,,,53,3,,0,136.271184,53.069589,0,Your team disagrees,4,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,4,2,0,0,,1,v8jw39uu,,,,,0
2,duey5jmx,00020551b2--62a70d7993820275f9e6511f,0,95,95,last,Last,2022-06-13 10:12:18.424442+00:00,1,,,43,3,,0,147.100666,82.043742,0,Your team disagrees,8,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,5,3,0,0,,1,v8jw39uu,,,,,0
3,kb4xh90w,00020551b2--62a70d853e4bbc46d7b63ed5,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:28.742035+00:00,1,,,60,1,,0,78.622738,46.223208,0,Your team disagrees,3,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,6,2,0,0,,1,v8jw39uu,,,,,0
4,dh34bcev,00020551b2--62a70d79037a78554529687d,0,95,95,last,Last,2022-06-13 10:12:30.388528+00:00,1,,,43,1,,0,154.790337,79.384373,0,Your team disagrees,3,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,8,3,0,0,,1,v8jw39uu,,,,,0
5,18xmbok4,00020551b2--62a70d89059cac0e9377c2da,0,1,95,intro_matcher,Intro,2022-06-13 10:12:30.648840+00:00,1,,,0,5,,0,,,,,,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,,1,,,,1,v8jw39uu,,,,,0
6,wusx1aqt,00020551b2--62a70d81cd14e60843e78de3,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:33.761728+00:00,1,,,50,3,,0,138.651748,68.567895,0,Your team disagrees,3,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,6,5,0,0,,1,v8jw39uu,,,,,0
7,nnbai6eu,00020551b2--62a70d89276629520ee30a74,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:35.333583+00:00,1,,,60,2,,0,151.030481,51.472495,0,Your team disagrees,8,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,0,2,0,0,,1,v8jw39uu,,,,,0
8,pgzfftd7,00020551b2--62a70d7c61497e119c6d46da,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:37.399483+00:00,1,,,80,3,,0,183.666976,91.682089,0,Your team disagrees,0,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,0,6,0,0,,1,v8jw39uu,,,,,0
9,ptwqybi2,00020551b2--62a70d82450a60329403118c,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:37.692430+00:00,1,,,40,2,,0,132.293601,16.832741,0,Your team disagrees,1,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,7,4,0,0,,1,v8jw39uu,,,,,0
10,aysqym01,00020551b2--62a70d904f0ede6bfabded80,0,92,95,wsd_app,FinalResults,2022-06-13 10:12:43.177454+00:00,1,,,50,2,,0,235.712489,6.906045,0,Your team disagrees,7,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,0,3,0,0,,1,v8jw39uu,,,,,0
