INPUT:id	INPUT:sense	INPUT:phrase	INPUT:sentence	OUTPUT:answer	GOLDEN:answer	HINT:text	HINT:default_language	ASSIGNMENT:started	ASSIGNMENT:submitted
549	"""a person who works at a specific occupation"",""a member of the working class (not necessarily employed)"",""sterile member of a colony of social insects that forages for food and cares for the larvae"",""a person who acts and gets things done"""	workers	Fears about the impact of immigrants are based on the notion that they are liable to replace native workers, in particular unskilled ones, exerting downward pressure on wages.	"""a person who acts and gets things done"""				2022-06-08T13:04:14.959	2022-06-08T13:05:43.761
632	"""readiness to embark on bold new ventures"",""the first of a series of actions"",""serving to set in motion"""	initiatives	Case Studies Each national report contains a portfolio of between 25 and 30 initiatives which best present policies and practices to improve the recruitment, training and development of ageing workers in both the work place and the community.	"""the first of a series of actions"""				2022-06-08T13:04:14.959	2022-06-08T13:05:43.761
391	"""the rising of a body of water and its overflowing onto normally dry land"",""an overwhelming number or amount"",""light that is a source of artificial illumination having a broad beam; used in photography"",""a large flow"",""the act of flooding; filling to overflowing"",""the occurrence of incoming water (between a low tide and the following high tide);  -Shakespeare"",""fill quickly beyond capacity; as with a liquid"",""cover with liquid\, usually water"",""supply with an excess of"",""become filled to overflowing"""	flood	The European Union gave the talks a boost as well on Friday by pledging to provide$ 3.6 billion a year over the next three years to help poorer countries adapt to the impact of climate change-- from coping with flood and drought to avoiding deforestation.	"""the rising of a body of water and its overflowing onto normally dry land"""				2022-06-08T13:04:14.959	2022-06-08T13:05:43.761
168	"""a message whose ingenuity or verbal skill or incongruity has the power to evoke laughter"",""the trait of appreciating (and being able to express) the humorous"",""a characteristic (habitual or relatively temporary) state of feeling"",""the quality of being funny"",""(Middle Ages) one of the four fluids in the body whose balance was believed to determine your emotional and physical state"",""the liquid parts of the body"",""put into a good mood"""	humor	Maybe it would be better to humor the guy and then make an exit.	"""the trait of appreciating (and being able to express) the humorous"""				2022-06-08T13:04:14.959	2022-06-08T13:05:43.761
37	"""lacking a visible order or organization"",""completely unordered and unpredictable and confusing"",""of or relating to a sensitive dependence on initial conditions"""	chaotic	Medical scientists are starting to uncover a handful of genes which, if damaged, unleash the chaotic growth of cells that characterizes cancer.	"""of or relating to a sensitive dependence on initial conditions"""				2022-06-08T13:04:14.959	2022-06-08T13:05:43.761
596	"""a subdivision of a particular kind of thing"",""a person of a specified kind (usually with many eccentricities)"",""(biology) the taxonomic group whose characteristics are used to define the next higher taxon"",""printed characters"",""all of the tokens of the same symbol"",""a small metal block bearing a raised character on one end; produces a printed character when inked and pressed on paper"",""write by means of a keyboard with types"",""identify as belonging to a certain type"""	type	Below these tabs you will find an input field to type your functions or do your calculations.	"""a subdivision of a particular kind of thing"""				2022-06-08T13:04:14.959	2022-06-08T13:05:43.761
578	"""dryness resulting from the removal of water"",""depletion of bodily fluids"",""the process of extracting moisture"""	dehydration	When Alimta is given with cisplatin, an anti-emetic medicine( to prevent vomiting) and fluids( to prevent dehydration) should also be given before or after the cisplatin dose.	"""dryness resulting from the removal of water"""				2022-06-08T13:04:14.959	2022-06-08T13:05:43.761
174	"""money extracted as a penalty"",""issue a ticket or a fine to as a penalty"",""being satisfactory or in satisfactory condition"",""minutely precise especially in differences in meaning"",""thin in thickness or diameter"",""characterized by elegance or refinement or accomplishment"",""of textures that are smooth to the touch or substances consisting of relatively small particles"",""free from impurities; having a high or specified degree of purity"",""an expression of agreement normally occurring at the beginning of a sentence"",""in a delicate manner"""	Fine	`` Fine.	"""being satisfactory or in satisfactory condition"""				2022-06-08T13:04:14.959	2022-06-08T13:05:43.761
583	"""a person who requires medical care"",""the semantic role of an entity that is not the agent but is directly involved in or affected by the happening denoted by the verb in the clause"",""enduring trying circumstances with even temper or characterized by such endurance"""	patients	For the treatment of non-small cell lung cancer, the effects of Alimta were compared with those of docetaxel( another anticancer medicine) in one study involving 571 patients with locally advanced or metastatic disease who had received chemotherapy in the past.	"""a person who requires medical care"""				2022-06-08T13:04:14.959	2022-06-08T13:05:43.761
212	"""a Swiss patriot who lived in the early 14th century and who was renowned for his skill as an archer; according to legend an Austrian governor compelled him to shoot an apple from his son's head with his crossbow (which he did successfully without mishap)"",""express in words"",""let something be known"",""narrate or give a detailed account of"",""give instructions to or direct somebody to do something with authority"",""discern or comprehend"",""inform positively and with certainty and confidence"",""give evidence"",""mark as different"""	told	You should have told me about her before``.	"""express in words"""				2022-06-08T13:04:14.959	2022-06-08T13:05:43.761
