INPUT:id	INPUT:phrase	INPUT:sentence	INPUT:sense
0	unintelligible	The art of change-ringing is peculiar to the English, and, like most English peculiarities, unintelligible to the rest of the world.	poorly articulated or enunciated\, or drowned by noise,not clearly understood or expressed
1	Tailors	Dorothy L. Sayers,`` The Nine Tailors``	a person whose occupation is making and altering garments,adjust to a specific need or market,style and tailor in a certain fashion,create (clothes) with cloth
2	chat	The parishioners of St. Michael and All Angels stop to chat at the church door, as members here always have.	an informal conversation,birds having a chattering call,songbirds having a chattering call,talk socially without exchanging too much information
3	evening	But there is also a discordant, modern note in Aslacton, though it can not be heard by the church-goers enjoying the peal of bells this cool autumn evening.	the latter part of the day (the period of decreasing daylight from late afternoon until nightfall),a later concluding time period,the early part of night (from dinner until bedtime) spent in a special way,make level or straight,become even or more even,make even or more even
4	other	Like most of the other 6,000 churches in Britain with sets of bells, St. Michael once had its own`` band`` of ringers, who would herald every Sunday morning and evening service.	not the same one or ones already mentioned or implied; - the White Queen,recently past,belonging to the distant past,very unusual; different in character or quality from the normal or expected; - Lance Morrow
5	only	Now, only one local ringer remains: 64-year-old Derek Hammond.	being the only one; single and isolated from others,exclusive of anyone or anything else,and nothing more,without any others being included or involved,with nevertheless the final result,in the final outcome,except that,never except when,as recently as
6	worker	`` To ring for even one service at this tower, we have to scrape,`` says Mr. Hammond, a retired water-authority worker.``	a person who works at a specific occupation,a member of the working class (not necessarily employed),sterile member of a colony of social insects that forages for food and cares for the larvae,a person who acts and gets things done
7	year	According to a nationwide survey taken a year ago, nearly a third of England 's church bells are no longer rung on Sundays because there is no one to ring them.	a period of time containing 365 (or 366) days,a period of time occupying a regular part of a calendar year that is used for some particular activity,the period of time that it takes for a planet (as\, e.g.\, Earth or Mars) to make a complete revolution around the sun,a body of students who graduate together
8	art	It is easy to see why the ancient art is on the ropes.	the products of human creativity; works of art collectively,the creation of beautiful or significant things,a superior skill that you can learn by study and practice and observation,photographs or other visual representations in a printed publication
9	Europe	The less complicated version of playing tunes on bells, as do the carillons of continental Europe, is considered by the English to be childish, fit only for foreigners.	the 2nd smallest continent (actually a vast peninsula of Eurasia); the British use `Europe' to refer to all of the continent except the British Isles,an international organization of European countries formed after World War II to reduce trade barriers and increase cooperation among its members,the nations of the European continent collectively
10	invented	Change-ringing, a mind-boggling exercise the English invented 380 years ago, requires physical dexterity-- some bells weigh more than a ton-- combined with intense mental concentration.	come up with (an idea\, plan\, explanation\, theory\, or principle) after a mental effort,make up something artificial or untrue
11	simple	Proper English bells are started off in`` rounds,`` from the highest-pitched bell to the lowest-- a simple descending scale using, in larger churches, as many as 12 bells.	any herbaceous plant having medicinal properties,a person lacking intelligence or common sense,having few parts; not complex or complicated or involved,easy and not involved or complicated,apart from anything else; without additions or modifications,exhibiting childlike simplicity and credulity,lacking mental capacity and subtlety,(botany) of leaf shapes; of leaves having no divisions or subdivisions,unornamented
12	varying	Then, at a signal, the ringers begin varying the order in which the bells sound without altering the steady rhythm of the striking.	become different in some particular way\, without permanently losing one's or its former characteristics or essence,be at variance with; be out of line with,be subject to change in accordance with a variable,make something more diverse and varied
13	hours	A series of 5,000 or so changes is a`` peal`` and takes about three hours.	a period of time equal to 1/24th of a day,clock time,a special and memorable period,distance measured by the time taken to cover it
