participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.time_for_initial_decision,player.time_for_decision_when_disagreement_occurred,player.intermediary_payoff,player.payable_round,player.written_outcome,player.initial_decision,player.phrase,player.sentence,player.senses,player.decision,group.id_in_subsession,group.is_initial_agreement,group.is_eventual_agreement,group.is_golden_label,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,61q4uems,,0,28,32,wsd_app,Results,2022-06-12 15:33:34.695300+00:00,1,,,3,1,,0,,99.500594,3,3,"Your team agrees with you, congratulations!",0,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,0,2,1,1,,1,ngnhwilb,,,,,1
2,quyqkcou,,0,28,32,wsd_app,Results,2022-06-12 15:33:34.713962+00:00,1,,,3,2,,0,,99.451373,3,3,"Your team agrees with you, congratulations!",0,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,0,2,1,1,,1,ngnhwilb,,,,,1
3,qjbed9xm,,0,28,32,wsd_app,Results,2022-06-12 15:33:34.721111+00:00,1,,,3,3,,0,,99.38999,3,2,"Your team agrees with you, congratulations!",0,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,0,2,1,1,,1,ngnhwilb,,,,,1
1,61q4uems,,0,28,32,wsd_app,Results,2022-06-12 15:33:34.695300+00:00,1,,,3,1,,0,,153.305355,3,3,"Your team agrees with you, congratulations!",0,nodded,The man closed his eyes and nodded.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",0,2,1,1,,2,ngnhwilb,,,,,1
2,quyqkcou,,0,28,32,wsd_app,Results,2022-06-12 15:33:34.713962+00:00,1,,,3,2,,0,,153.288385,3,3,"Your team agrees with you, congratulations!",0,nodded,The man closed his eyes and nodded.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",0,2,1,1,,2,ngnhwilb,,,,,1
3,qjbed9xm,,0,28,32,wsd_app,Results,2022-06-12 15:33:34.721111+00:00,1,,,3,3,,3,,153.337083,3,2,"Your team agrees with you, congratulations!",0,nodded,The man closed his eyes and nodded.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",0,2,1,1,,2,ngnhwilb,,,,,1
1,61q4uems,,0,28,32,wsd_app,Results,2022-06-12 15:33:34.695300+00:00,1,,,3,1,,3,,145.42273,3,3,"Your team agrees with you, congratulations!",0,nodded,"Five minutes later, before Haney could make his break, the stranger stood up and nodded farewell.","a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",0,2,1,1,,3,ngnhwilb,,,,,1
2,quyqkcou,,0,28,32,wsd_app,Results,2022-06-12 15:33:34.713962+00:00,1,,,3,2,,3,,145.413578,3,3,"Your team agrees with you, congratulations!",0,nodded,"Five minutes later, before Haney could make his break, the stranger stood up and nodded farewell.","a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",0,2,1,1,,3,ngnhwilb,,,,,1
3,qjbed9xm,,0,28,32,wsd_app,Results,2022-06-12 15:33:34.721111+00:00,1,,,3,3,,0,,145.375501,3,2,"Your team agrees with you, congratulations!",0,nodded,"Five minutes later, before Haney could make his break, the stranger stood up and nodded farewell.","a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",0,2,1,1,,3,ngnhwilb,,,,,1
1,178mn4o3,,0,0,32,,,,0,,,0,1,,0,,,,2,,,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,,1,,,,1,ldxmnzwl,,,,,1
